,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,15,4,0,0,3,0,3,14,1,2,2,4,38,4,3,37,6,2,7,5
comp.graphics,0,55,11,12,0,12,0,11,1,0,0,5,27,2,1,4,4,0,0,5
comp.os.ms-windows.misc,0,17,34,19,14,20,1,2,1,0,0,3,28,1,4,2,3,0,0,1
comp.sys.ibm.pc.hardware,0,11,18,56,7,5,5,2,3,0,0,11,27,1,2,1,1,0,0,0
comp.sys.mac.hardware,0,12,5,58,17,8,9,1,4,1,1,13,13,0,3,1,3,0,0,1
comp.windows.x,0,44,9,1,5,42,2,5,1,3,0,11,20,3,0,2,1,0,0,1
misc.forsale,0,3,6,21,9,3,63,1,2,1,5,1,20,4,5,4,2,0,0,0
rec.autos,0,1,1,3,3,5,48,6,2,2,1,2,45,4,6,7,11,0,0,3
rec.motorcycles,0,0,1,4,5,4,14,2,38,2,5,5,37,16,3,3,5,0,0,6
rec.sport.baseball,0,2,1,0,5,7,3,0,1,5,72,1,35,5,1,4,1,1,0,6
rec.sport.hockey,0,1,0,2,2,3,4,1,1,0,84,2,34,1,1,4,4,1,0,5
sci.crypt,1,5,4,1,2,3,2,5,0,5,0,21,26,3,4,8,54,0,0,6
sci.electronics,1,3,11,13,4,6,10,5,0,1,0,3,54,3,14,4,11,0,0,7
sci.med,1,2,0,0,9,6,3,6,1,10,1,8,25,60,8,5,3,0,0,2
sci.space,1,7,0,0,3,4,4,1,0,1,1,1,38,9,59,7,13,0,0,1
soc.religion.christian,1,3,0,0,2,1,1,4,0,0,0,3,21,4,2,101,3,2,0,2
talk.politics.guns,1,3,0,1,2,1,2,4,1,0,2,1,28,10,15,6,63,1,0,9
talk.politics.mideast,42,2,0,1,0,0,0,1,0,0,1,2,25,4,6,8,8,45,0,5
talk.politics.misc,0,0,0,0,7,5,3,3,0,0,2,1,30,15,9,18,47,0,0,10
talk.religion.misc,2,2,0,0,2,1,0,13,1,1,1,3,32,5,10,49,8,2,0,18
